Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kutter Crawford","BOS",6,6,,4.5311,24,17,,,101.3,433,100,55,51,13,32,0,4,94,8.35143,2.84304,2.9375,1.15499,0.21709,0.073903,0.14318706840276718,0.251889,1.30306,0.3,0.676626,,,4.13362,1.44871,1.23555,999,,,,"20531"
"Matt Waldron","SDP",6,6,,4.29358,22,18,,,109,461,106,56,52,14,32,0,4,90,7.43119,2.6422,2.8125,1.15596,0.195228,0.0694143,0.12581345438957214,0.249412,1.26605,0.286604,0.692568,,,4.26421,1.44373,1.1472,999,,,,"25550"
"Royber Salinas","OAK",5,5,,4.05561,27,25,,,104.3,450,91,50,47,10,48,0,5,102,8.80153,4.1419,2.125,0.862895,0.226667,0.106667,0.12000000476837158,0.229219,1.33269,0.284211,0.712,,,4.07,1.44344,1.4351,999,,,,"sa3009243"
"Lance McCullers Jr.","HOU",6,5,,3.76826,19,19,,,102.7,441,89,46,43,11,45,0,6,103,9.02629,3.94352,2.28889,0.963973,0.23356,0.102041,0.13151926547288895,0.228205,1.30477,0.282609,0.74199,,,4.13138,1.44285,1.96843,999,,,,"14120"
"Ky Bush","CHW",7,8,,4.42623,24,24,,,103.7,447,101,55,51,12,39,0,4,83,7.20347,3.38476,2.12821,1.04147,0.185682,0.0872483,0.09843400120735168,0.25,1.35005,0.288026,0.689935,,,4.40258,1.44098,1.20438,999,,,,"sa3017386"
"Simeon Woods Richardson","MIN",6,5,,4.24755,24,21,,,112.3,483,108,57,53,12,44,0,2,93,7.45325,3.52627,2.11364,0.96171,0.192547,0.0910973,0.10144928097724915,0.24714,1.35352,0.289157,0.702663,,,4.21675,1.43925,1.39795,999,,,,"24494"
"Ian Anderson","ATL",8,6,,4.29315,22,22,,,115.3,496,109,59,55,15,48,1,1,107,8.35212,3.74675,2.22917,1.17086,0.215726,0.0967742,0.11895161867141724,0.243848,1.36167,0.289231,0.720588,,,4.36519,1.43865,1.69957,999,,,,"19951"
"Nick Nastrini","CHW",6,6,,4.51254,24,24,,,107.7,469,98,58,54,14,48,0,7,109,9.10863,4.01114,2.27083,1.16992,0.232409,0.102345,0.1300639733672142,0.236715,1.35562,0.28866,0.696203,,,4.45281,1.43847,1.16425,999,,,,"sa3017413"
"Gunnar Hoglund","OAK",5,7,,4.04011,27,27,,,104.7,439,110,50,47,10,19,0,5,57,4.89971,1.63324,3,0.859599,0.129841,0.0432802,0.08656037226319313,0.26506,1.23209,0.287356,0.686957,,,4.09554,1.43463,1.47745,999,,,,"sa3019785"
"Connor Thomas","STL",6,5,,4.14864,22,18,,,106.3,457,111,52,49,10,30,0,6,67,5.67262,2.53998,2.23333,0.84666,0.146608,0.0656455,0.08096279203891754,0.263658,1.32643,0.293605,0.700787,,,4.2334,1.42897,1.5573,999,,,,"sa3010784"
"Jackson Jobe","DET",5,6,,4.18979,28,28,,,111.7,474,104,56,52,12,37,0,6,86,6.92928,2.9812,2.32432,0.966876,0.181435,0.0780591,0.10337553173303604,0.241299,1.26231,0.276276,0.68438,,,4.26668,1.42831,1.58163,999,,,,"sa3018054"
"Hayden Wesneski","CHC",5,5,,4.36634,29,16,,,101,428,93,52,49,12,35,0,4,93,8.28713,3.11881,2.65714,1.06931,0.21729,0.0817757,0.1355140134692192,0.239075,1.26733,0.285211,0.683453,,,4.11643,1.4253,1.19064,999,,,,"27581"
"Michael Grove","LAD",3,3,,4.22028,24,18,,,91.7,392,89,46,43,13,32,0,2,94,9.22574,3.14068,2.9375,1.2759,0.239796,0.0816327,0.15816327184438705,0.248603,1.31952,0.302789,0.729572,,,4.16017,1.42328,1.20546,999,,,,"23221"
"David Festa","MIN",5,5,,4.12607,25,23,,,104.7,449,97,51,48,12,41,0,4,98,8.42407,3.52436,2.39024,1.03152,0.218263,0.091314,0.1269487738609314,0.240099,1.31805,0.289116,0.717822,,,4.16239,1.41752,1.5342,999,,,,"sa3017788"
