"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yandy Diaz","Rays","109","475","406","109","21","1","10","56","49","60","88","3","3","1","",".268",".365",".398",".762",".331","","110","-0.7","0.8","","5.2","-7.5","1.4","","434.8","16578"
"Jason Heyward","Cubs","134","556","480","120","21","3","16","64","61","64","103","5","5","2","",".250",".342",".406",".748",".321","","97","1.3","4.0","","-0.9","-2.7","1.4","","439.6","4940"
"Rowdy Tellez","Blue Jays","118","492","438","113","23","1","24","65","73","42","116","6","3","2","",".257",".328",".479",".807",".337","","110","-0.5","1.3","","5.7","-8.9","1.4","","250.6","15679"
"Hunter Dozier","Royals","143","615","542","133","27","6","21","74","77","63","167","4","5","2","",".246",".326",".431",".757",".321","","97","-0.7","-6.3","","-2.9","-4.6","1.4","","229.1","15117"
"Mitch Garver","Twins","86","364","317","77","16","1","15","47","46","38","98","4","2","1","",".242",".329",".443",".772",".327","","102","-0.3","-1.4","","0.8","2.5","1.4","","196.9","15161"
"Eddie Rosario","","126","540","500","135","25","1","27","69","84","33","90","2","4","2","",".270",".316",".486",".802",".332","","105","1.0","-1.6","","4.6","-8.8","1.4","","116.2","12155"
"Austin Meadows","Rays","117","522","463","117","24","3","22","70","65","46","124","6","11","4","",".253",".326",".460",".785",".329","","109","0.4","-1.9","","6.1","-10.6","1.4","","99.0","15672"
"Jake Cronenworth","Padres","103","422","375","102","22","3","8","48","45","38","72","5","8","3","",".272",".344",".407",".751",".323","","101","-0.1","0.1","","0.3","0.1","1.4","","160.9","18036"
"Rio Ruiz","Orioles","120","489","436","108","21","1","17","56","58","45","104","2","3","2","",".248",".319",".420",".739",".314","","94","-0.7","-1.0","","-4.3","1.0","1.4","","508.4","14103"
"Yadier Molina","","106","435","401","103","19","1","12","46","50","24","70","6","3","1","",".257",".306",".401",".707",".301","","84","-3.1","2.8","","-11.9","9.0","1.3","","276.8","7007"
"Victor Robles","Nationals","149","594","529","132","27","3","17","71","67","39","134","17","21","9","",".250",".319",".406",".725",".309","","87","1.4","0.9","","-9.0","3.4","1.3","","171.0","18363"
"Randal Grichuk","Blue Jays","128","549","502","123","27","2","29","73","83","35","141","5","3","1","",".245",".300",".480",".779",".323","","101","0.1","-0.8","","0.7","-6.5","1.3","","183.0","10243"
"Enrique Hernandez","","94","386","339","86","19","2","15","50","49","37","77","4","3","1","",".253",".331",".451",".782",".329","","100","0.7","-1.0","","0.8","-0.9","1.3","","493.6","10472"
"Josh Naylor","Indians","125","510","455","125","25","2","18","63","64","44","81","4","4","2","",".275",".342",".455",".797",".336","","107","0.5","-1.4","","4.7","-9.2","1.3","","444.6","18839"
"Manuel Margot","Rays","104","425","382","96","20","2","10","48","45","35","80","3","18","7","",".251",".316",".398",".713",".305","","92","1.2","4.6","","-3.2","1.6","1.3","","272.8","14712"
"Evan Longoria","Giants","121","515","468","117","23","2","19","58","67","34","114","7","3","1","",".251",".309",".433",".742",".313","","94","-0.8","-0.1","","-5.0","1.7","1.3","","422.1","9368"
"Brandon Crawford","Giants","136","550","488","118","26","2","14","57","58","48","124","7","4","2","",".241",".315",".387",".702",".298","","84","-0.3","0.3","","-11.5","7.1","1.3","","507.1","5343"
"Eduardo Escobar","Diamondbacks","141","607","548","136","26","5","23","71","78","48","122","5","3","2","",".248",".312",".438",".750",".313","","90","0.4","-0.9","","-7.8","1.4","1.3","","308.4","6153"
"Chad Pinder","Athletics","118","486","438","108","23","1","18","57","61","35","119","7","2","1","",".247",".311",".429",".740",".313","","98","-0.6","-7.2","","-2.0","-1.9","1.3","","507.3","15191"
"Andrew McCutchen","Phillies","139","636","541","133","24","1","26","88","70","78","142","7","9","4","",".247",".346",".443",".789",".337","","107","-1.2","-4.8","","4.4","-11.8","1.3","","193.1","9847"
"Justin Upton","Angels","136","572","497","117","21","1","29","74","82","60","168","9","4","2","",".235",".326",".455",".781",".330","","106","0.1","-4.5","","4.6","-11.7","1.3","","390.7","5222"
"Jackie Bradley Jr.","","138","542","471","106","21","2","19","62","62","54","145","9","10","4","",".225",".314",".397",".711",".304","","86","1.9","0.1","","-7.7","2.4","1.3","","356.5","12984"
"Matt Carpenter","Cardinals","133","566","470","104","24","1","20","69","61","80","154","8","4","2","",".221",".341",".405",".747",".321","","100","-0.5","-6.0","","-0.7","-4.7","1.3","","546.1","8090"
"Robbie Grossman","Tigers","130","542","461","119","25","3","13","65","57","69","102","5","10","4","",".258",".357",".413",".771",".332","","105","-0.1","-2.8","","3.1","-9.4","1.2","","386.0","5254"
"Nate Lowe","Rangers","123","506","437","114","22","1","22","64","68","59","121","5","2","1","",".262",".352",".470",".823",".346","","107","0.5","0.6","","5.2","-10.2","1.2","","325.6","19566"
"Daulton Varsho","Diamondbacks","93","375","334","86","16","3","13","46","45","30","74","5","10","4","",".257",".325",".439",".764",".323","","96","0.4","0.3","","-1.3","1.9","1.2","","150.8","19918"
"Adam Frazier","Pirates","110","480","430","114","25","3","10","55","46","37","70","6","6","3","",".266",".331",".403",".735",".315","","93","0.7","-1.1","","-3.7","0.8","1.2","","475.7","15223"
"Nick Ahmed","Diamondbacks","149","593","533","130","28","3","17","63","66","48","119","4","7","3","",".244",".309",".402",".711",".302","","83","0.6","-1.2","","-12.8","6.3","1.2","","381.1","12147"
"Jesus Aguilar","Marlins","134","565","491","122","23","1","24","68","72","62","131","6","2","1","",".248",".337",".446",".783",".332","","109","-1.3","0.2","","5.2","-11.0","1.2","","301.5","11342"
"Ji-Man Choi","Rays","107","458","389","94","21","1","16","56","55","59","113","5","3","1","",".241",".345",".427",".772",".330","","109","0.1","0.3","","5.2","-8.9","1.2","","529.2","5452"
"Gavin Lux","Dodgers","104","419","375","96","18","2","14","51","51","36","88","3","7","3","",".257",".324",".427",".751",".319","","99","0.6","-2.0","","-0.1","-1.0","1.2","","242.3","19955"
"Jordan Luplow","Indians","107","439","382","93","19","2","17","53","55","48","100","4","6","3","",".243",".332",".434",".766",".326","","100","0.1","2.6","","-0.2","-3.0","1.2","","999.0","16424"
"David Peralta","Diamondbacks","133","566","511","138","27","3","19","66","72","45","122","5","2","1","",".270",".333",".445",".778",".328","","100","-0.3","0.6","","-0.5","-5.6","1.2","","274.6","2136"
"Trey Mancini","Orioles","123","546","487","128","24","2","24","71","73","47","128","7","2","1","",".262",".332",".468",".800",".336","","109","-0.4","-0.1","","6.0","-13.0","1.2","","167.8","15149"
"Joey Votto","Reds","150","674","557","141","27","1","24","92","75","101","137","7","3","1","",".253",".371",".432",".803",".346","","110","-4.2","-1.6","","4.5","-14.1","1.2","","370.0","4314"
"Nelson Cruz","","130","566","493","127","20","1","31","77","87","59","151","9","1","1","",".258",".345",".494",".839",".347","","115","-3.1","0.0","","8.1","-15.1","1.2","","96.1","2434"
"Alex Dickerson","Giants","105","451","402","110","23","3","17","58","59","38","93","6","2","1","",".274",".343",".476",".820",".343","","113","-0.4","-4.7","","7.5","-10.2","1.2","","317.6","12649"
"Wilson Ramos","","72","294","265","74","13","0","11","35","38","22","51","2","1","0","",".279",".338",".453",".791",".333","","106","-2.4","-1.5","","-0.1","4.5","1.2","","400.7","1433"
"Austin Barnes","Dodgers","51","198","169","38","8","0","5","22","19","23","50","3","3","1","",".222",".323",".354",".678",".296","","84","0.0","-0.1","","-4.2","4.1","1.2","","533.7","12158"
"Alejandro Kirk","Blue Jays","71","283","252","72","16","1","10","37","37","24","43","3","3","1","",".286",".352",".472",".824",".348","","117","0.1","-0.1","","6.4","-3.6","1.2","","999.0","22581"
"Jared Walsh","Angels","112","465","414","102","20","2","23","61","65","39","135","6","2","1","",".247",".318",".469",".787",".329","","105","0.3","0.5","","3.4","-8.0","1.1","","209.3","18607"
"Brett Gardner","","110","452","393","95","17","4","13","53","50","48","97","5","8","3","",".242",".329",".405",".734",".316","","94","1.7","1.3","","-1.8","-1.8","1.1","","588.1","9927"
"Adam Eaton","White Sox","125","559","487","123","22","3","14","72","57","54","103","10","9","3","",".253",".337",".398",".736",".318","","98","1.0","-1.6","","-0.3","-7.7","1.1","","361.6","11205"
"Clint Frazier","Yankees","138","565","498","123","26","2","24","72","77","53","150","7","6","3","",".247",".325",".450",".776",".327","","103","-0.4","-3.6","","2.1","-10.5","1.1","","188.1","15983"
"Nicky Lopez","Royals","141","568","510","136","26","2","7","60","52","45","81","5","10","5","",".266",".328",".366",".694",".301","","84","0.0","0.7","","-11.7","3.3","1.1","","595.7","19339"
"Maikel Franco","","120","484","437","112","22","1","22","59","67","39","75","2","2","1","",".256",".317",".459",".776",".320","","97","-1.2","-2.6","","-3.1","-1.9","1.1","","409.8","12179"
"Mike Zunino","Rays","86","333","297","58","12","1","14","36","39","26","119","5","2","1","",".196",".269",".385",".654",".278","","74","-0.4","1.3","","-11.6","8.5","1.1","","547.6","13265"
"Jason Castro","Astros","71","278","241","50","11","1","9","31","30","30","93","3","1","1","",".207",".300",".367",".666",".289","","81","-0.8","0.5","","-7.5","6.4","1.1","","547.0","8722"
"Stephen Piscotty","Athletics","128","527","470","116","25","1","20","62","66","44","122","7","4","2","",".247",".319",".432",".750",".318","","101","-0.6","-1.4","","0.4","-7.8","1.1","","466.5","13367"
"Orlando Arcia","Brewers","138","539","487","123","23","2","15","58","60","40","105","4","8","3","",".252",".311",".401",".712",".302","","84","0.0","-1.5","","-11.6","5.3","1.1","","499.0","13185"
"Donovan Solano","Giants","138","585","541","154","31","2","8","62","58","30","109","6","3","1","",".284",".327",".396",".723",".310","","92","-0.4","-4.1","","-6.8","-1.1","1.1","","465.9","8623"
"Nick Solak","Rangers","131","563","502","133","24","1","18","66","66","48","119","7","9","4","",".266",".336",".425",".761",".325","","93","0.6","-2.8","","-4.6","-4.2","1.1","","168.7","19294"
"Charlie Blackmon","Rockies","136","609","545","155","30","4","25","84","81","49","116","8","6","3","",".285",".350",".492",".842",".351","","102","-0.1","-3.8","","1.8","-10.6","1.1","","82.5","7859"
"Kyle Higashioka","Yankees","57","226","206","45","8","0","10","26","30","14","59","2","1","1","",".221",".276",".413",".689",".289","","78","0.1","-0.3","","-6.3","4.4","1.0","","456.8","5517"
"Jon Berti","Marlins","103","445","388","95","18","2","8","49","38","43","104","7","18","6","",".244",".328",".361",".689",".301","","88","2.1","-1.0","","-4.7","0.8","1.0","","270.5","12037"
"Carter Kieboom","Nationals","115","458","397","97","18","1","12","51","49","48","107","6","4","2","",".245",".333",".385",".719",".311","","88","0.0","0.6","","-7.1","2.8","1.0","","451.4","19958"
"A.J. Pollock","Dodgers","129","545","493","122","24","1","26","70","75","38","125","8","7","3","",".248",".309",".458",".767",".320","","100","0.4","-1.5","","0.5","-7.7","1.0","","191.0","9256"
"Yan Gomes","Nationals","90","360","322","76","15","1","13","41","44","28","89","5","2","1","",".236",".305",".412",".717",".303","","83","-0.6","1.2","","-8.8","8.7","1.0","","342.9","9627"
"Joey Wendle","Rays","96","397","360","92","19","3","7","42","39","24","77","8","10","4","",".257",".314",".381",".695",".298","","87","0.7","0.4","","-5.8","2.1","1.0","","306.1","13853"
"Tucker Barnhart","Reds","96","381","331","75","15","1","10","41","38","41","85","3","2","1","",".226",".315",".367",".681",".294","","76","-1.5","3.5","","-13.6","11.5","1.0","","480.0","10200"
"Mauricio Dubon","Giants","125","492","452","122","22","2","12","54","54","28","87","4","10","5","",".270",".316",".408",".725",".308","","91","0.3","-2.3","","-5.7","0.0","1.0","","277.7","16530"
"Wilmer Flores","Giants","76","321","293","83","17","1","12","40","43","20","44","4","1","1","",".284",".335",".474",".809",".339","","111","-1.1","-2.9","","3.6","-3.9","1.0","","291.4","5827"
"Yuli Gurriel","Astros","147","615","567","154","33","2","23","75","86","35","82","6","4","2","",".272",".319",".457",".777",".326","","106","-1.6","-2.7","","3.5","-15.1","1.0","","286.5","19198"
"Franchy Cordero","Royals","99","398","358","95","20","2","14","48","50","31","112","4","8","3","",".265",".327",".449",".776",".328","","101","1.0","-1.2","","1.7","-5.6","1.0","","391.8","14567"
"Wil Myers","Padres","147","611","539","127","27","2","26","76","80","61","184","4","13","5","",".236",".316",".441",".757",".320","","98","1.3","-2.8","","0.0","-9.7","1.0","","127.5","10047"
"Andrew Knizner","Cardinals","102","413","376","98","18","1","12","45","47","26","74","6","3","1","",".262",".317",".409",".726",".309","","92","-0.2","1.1","","-4.6","9.6","1.0","","499.1","19514"
"Tyler Flowers","","56","219","190","40","8","1","6","23","22","21","74","4","1","0","",".210",".302",".356",".658",".285","","74","-0.6","-1.9","","-8.0","2.8","0.9","","999.0","9134"
"Jonathan Schoop","","113","471","433","108","20","2","20","57","63","24","115","7","2","1","",".250",".299",".449",".747",".312","","92","-0.5","-3.0","","-5.4","-1.1","0.9","","393.0","11265"
"Kole Calhoun","Diamondbacks","139","600","518","120","24","2","24","73","72","67","149","7","4","2","",".232",".325",".427",".752",".319","","94","-0.4","2.0","","-5.2","-4.9","0.9","","251.5","11200"
"Josh Bell","Nationals","136","583","500","129","26","2","28","79","87","74","126","5","2","1","",".259",".357",".484",".841",".350","","113","-1.7","-6.8","","8.6","-18.2","0.9","","167.1","13145"
"Victor Caratini","Padres","52","210","185","47","10","0","5","24","23","19","47","3","1","0","",".253",".329",".397",".726",".312","","93","-0.2","-0.1","","-2.0","3.4","0.9","","463.0","14968"
"Austin Hedges","Indians","47","182","164","35","7","0","7","20","22","13","54","2","2","1","",".212",".277",".392",".670",".282","","70","-0.2","0.3","","-7.2","4.1","0.9","","594.7","12976"
"Jurickson Profar","","91","361","315","78","16","1","12","44","44","35","55","6","7","2","",".246",".330",".420",".750",".320","","99","0.7","0.3","","0.0","-2.7","0.9","","227.0","10815"
"Kevin Pillar","","122","506","470","121","27","3","15","56","60","23","88","7","10","4","",".256",".299",".418",".717",".301","","85","1.6","0.0","","-8.5","0.4","0.9","","356.3","12434"
"Myles Straw","Astros","120","490","432","109","17","2","4","55","42","48","104","3","25","8","",".252",".329",".333",".662",".292","","84","2.1","-2.3","","-8.2","-0.3","0.9","","471.6","17620"
"Victor Reyes","Tigers","126","562","524","143","25","5","12","65","54","27","115","4","17","6","",".273",".311",".405",".716",".304","","86","0.4","4.3","","-9.9","-1.1","0.9","","204.9","15487"
"Bobby Dalbec","Red Sox","128","512","446","106","20","1","27","67","73","51","164","8","4","2","",".237",".323",".467",".790",".331","","101","0.3","0.4","","1.2","-10.5","0.9","","279.6","19966"
"Ha-seong Kim","Padres","68","277","246","64","12","1","9","33","33","24","45","2","7","3","",".258",".328",".418",".746",".317","","97","0.3","0.0","","-0.9","0.7","0.8","","999.0","sa3011918"
"Corey Dickerson","Marlins","133","573","528","140","29","4","20","67","70","34","106","4","5","2","",".265",".312",".449",".761",".318","","99","-0.7","-1.8","","-1.3","-8.5","0.8","","383.5","10762"
"Travis Shaw","","78","319","274","63","13","0","14","39","41","39","84","3","2","1","",".230",".328",".430",".758",".322","","98","-0.6","0.0","","-1.3","-1.2","0.8","","551.0","11982"
"Daniel Vogelbach","Brewers","98","411","341","78","13","1","19","51","53","62","103","3","1","0","",".228",".350",".434",".784",".335","","105","-0.6","1.2","","2.1","-7.1","0.8","","578.5","14130"
"D.J. Stewart","Orioles","92","380","328","79","15","1","16","47","47","43","94","5","5","2","",".242",".336",".441",".776",".330","","105","0.2","-1.8","","2.7","-8.0","0.8","","545.1","17766"
