Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Michael Harris II","ATL",138,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,8,20,4,0.293069306,"Michael Harris II",25931,671739
"Yordan Alvarez","HOU",114,410,496,120,64,24,1,31,77,97,69,5,92,13,4,0,7,0,0,0.292682926,"Yordan Alvarez",19556,670541
"Josh Lowe","TBR",135,466,501,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,0.291845493,"Josh Lowe",19953,666139
"Matt McLain","CIN",89,365,403,106,63,23,4,16,65,50,31,0,115,7,0,0,5,14,5,0.290410958,"Matt McLain",29695,680574
"Óscar Mercado","STL",20,31,32,9,6,3,0,0,3,5,1,0,4,0,0,0,0,2,1,0.29032258,"Oscar Mercado",16375,640458
"Michael Stefanic","LAA",25,62,71,18,15,2,1,0,5,6,8,0,8,1,0,0,0,0,1,0.29032258,"Michael Stefanic",25353,683021
"Tom Murphy","SEA",47,145,159,42,22,12,0,8,19,17,10,0,44,1,2,0,4,0,0,0.289655172,"Tom Murphy",13499,608596
"Ryan O'Hearn","BAL",112,346,368,100,63,22,1,14,48,60,15,2,82,3,3,1,2,5,1,0.289017341,"Ryan O'Hearn",16442,656811
"William Contreras","MIL",141,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,23,6,1,0.288888888,"William Contreras",20503,661388
"Masataka Yoshida","BOS",140,537,580,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,0.288640595,"Masataka Yoshida",31837,807799
"Riley Greene","DET",99,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,0.288359788,"Riley Greene",25976,682985
"Pablo Reyes","BOS",64,167,185,48,37,9,0,2,27,20,14,0,21,0,2,2,3,7,2,0.287425149,"Pablo Reyes",16357,622569
"Drew Millas","WSN",11,28,33,8,5,2,0,1,1,6,4,0,5,0,0,1,2,0,0,0.285714285,"Drew Millas",25643,686452
"Andre Lipcius","DET",13,35,38,10,8,1,0,1,3,4,3,0,8,0,0,0,1,0,0,0.285714285,"Andre Lipcius",25822,686531
"Seiya Suzuki","CHC",138,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,0.285436893,"Seiya Suzuki",30116,673548
"Xander Bogaerts","SDP",155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,0.285234899,"Xander Bogaerts",12161,593428
"Corbin Carroll","ARI",155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.284955752,"Corbin Carroll",25878,682998
"Gabriel Moreno","ARI",111,341,380,97,70,19,1,7,33,50,29,0,75,3,7,0,17,6,2,0.284457478,"Gabriel Moreno",22664,672515
"Brendan Donovan","STL",95,327,371,93,71,10,1,11,48,34,33,2,53,9,1,1,4,5,1,0.284403669,"Brendan Donovan",24679,680977
"Kyle Tucker","HOU",157,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,11,30,5,0.283972125,"Kyle Tucker",18345,663656
"Wilmer Flores","SFG",126,405,454,115,70,22,0,23,51,60,41,1,63,5,3,0,13,0,0,0.283950617,"Wilmer Flores",5827,527038
"Matt Olson","ATL",162,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,13,1,0,0.282894736,"Matt Olson",14344,621566
"Nico Hoerner","CHC",150,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,0.282714054,"Nico Hoerner",21479,663538
"Donovan Solano","MIN",134,394,450,111,79,26,1,5,43,38,40,1,100,15,1,0,8,0,0,0.281725888,"Donovan Solano",8623,456781
"Yainer Diaz","HOU",104,355,377,100,55,22,0,23,51,60,11,0,74,5,6,0,12,0,0,0.28169014,"Yainer Diaz",23003,673237
"José Ramírez","CLE",156,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,8,28,6,0.281505728,"Jose Ramirez",13510,608070
"Austin Riley","ATL",159,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,18,3,1,0.28144654,"Austin Riley",18360,663586
"Freddy Fermin","KCR",70,217,235,61,41,10,1,9,26,32,13,0,50,1,3,1,11,0,0,0.28110599,"Freddy Fermin",21840,666023
"Wander Franco","TBR",112,442,491,124,78,23,6,17,65,58,42,3,69,3,4,0,18,30,10,0.280542986,"Wander Franco",23667,677551
"Bryson Stott","PHI",151,585,640,164,115,32,2,15,78,62,39,1,100,7,8,1,10,31,3,0.28034188,"Bryson Stott",26294,681082
"Ozzie Albies","ATL",148,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,9,13,1,0.280201342,"Ozzie Albies",16556,645277
"Vaughn Grissom","ATL",23,75,80,21,17,3,1,0,5,9,2,0,15,2,1,0,2,0,1,0.28,"Vaughn Grissom",26031,687093
"Mickey Moniak","LAA",85,311,323,87,50,21,2,14,35,45,9,1,113,3,0,0,4,6,3,0.279742765,"Mickey Moniak",19956,666160
"TJ Friedl","CIN",138,488,556,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,0.278688524,"TJ Friedl",19522,670770
"Charlie Blackmon","COL",96,359,413,100,63,24,5,8,57,40,39,0,55,11,4,0,6,4,1,0.278551532,"Charlie Blackmon",7859,453568
"Mauricio Dubón","HOU",132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278372591,"Mauricio Dubon",16530,643289
"Christian Yelich","MIL",144,550,632,153,99,34,1,19,106,76,78,7,140,3,1,0,15,28,3,0.278181818,"Christian Yelich",11477,592885
"Michael Brantley","HOU",15,54,57,15,11,2,0,2,7,7,2,0,2,0,1,0,2,0,0,0.277777777,"Michael Brantley",4106,488726
"Kerry Carpenter","DET",118,418,459,116,77,17,2,20,57,64,32,3,115,8,1,0,5,6,0,0.277511961,"Kerry Carpenter",25961,681481
"Brandon Marsh","PHI",133,404,472,112,69,25,6,12,58,60,59,2,144,4,4,1,4,10,2,0.277227722,"Brandon Marsh",20202,669016
"Adley Rutschman","BAL",154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277210884,"Adley Rutschman",26288,668939
"Ryan Jeffers","MIN",96,286,335,79,48,15,2,14,46,43,33,1,93,10,2,4,6,3,2,0.276223776,"Ryan Jeffers",24618,680777
"Jordan Walker","STL",117,420,465,116,79,19,2,16,51,51,37,0,104,6,2,0,9,7,4,0.276190476,"Jordan Walker",27475,691023
"Bobby Witt Jr.","KCR",158,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,11,49,15,0.276131045,"Bobby Witt Jr.",25764,677951
"Marcus Semien","TEX",162,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,5,14,3,0.276119402,"Marcus Semien",12533,543760
"Garrett Hampson","MIA",98,221,252,61,45,12,1,3,30,23,23,0,67,3,2,3,3,5,0,0.276018099,"Garrett Hampson",19262,641658
"Justin Turner","BOS",146,558,626,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.275985663,"Justin Turner",5235,457759
"Ketel Marte","ARI",150,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,16,8,2,0.275922671,"Ketel Marte",13613,606466
"Davis Schneider","TOR",35,116,141,32,11,12,1,8,23,20,21,0,43,4,0,0,2,1,0,0.275862068,"Davis Schneider",23565,676914
"Ezequiel Duran","TEX",122,406,439,112,74,22,2,14,55,46,23,1,120,7,2,1,7,8,4,0.275862068,"Ezequiel Duran",23733,677649
