"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Starling Marte","NYM","117","500","455","122","23","3","12","70","51","28","90","13","25","5","",".268",".327",".411",".738",".319","","2.5","-1.8","","5.4","0.0","2.2","9241"
"Anthony Rizzo","","124","516","440","112","20","2","20","63","68","52","80","20","5","2","",".255",".357",".445",".802",".346","","-0.3","0.9","","12.9","-8.6","2.2","3473"
"Josh Donaldson","MIN","112","457","391","93","21","0","17","56","56","58","96","4","1","0","",".238",".339",".422",".761",".330","","-0.2","-0.3","","4.9","1.4","2.2","5038"
"Oswald Peraza","NYY","115","511","473","120","21","2","16","56","50","31","110","5","23","6","",".254",".306",".408",".714",".309","","1.7","-0.2","","-1.0","5.4","2.2","sa3003305"
"Ke'Bryan Hayes","PIT","109","458","412","104","26","3","10","55","46","40","102","2","8","1","",".252",".319",".403",".722",".314","","0.8","6.6","","-1.7","8.3","2.2","18577"
"Donovan Walton","SEA","98","419","372","95","18","2","11","55","48","31","61","8","2","4","",".255",".324",".403",".727",".316","","-1.6","2.4","","0.5","7.0","2.2","19314"
"Rhys Hoskins","PHI","119","513","434","104","29","2","26","70","80","68","121","8","3","2","",".240",".351",".495",".846",".361","","-0.7","-1.3","","15.2","-10.7","2.1","16472"
"Nick Castellanos","","132","560","511","145","37","2","27","83","87","37","119","7","2","2","",".284",".338",".523",".860",".361","","-0.8","-4.7","","13.8","-10.9","2.1","11737"
"Noelvi Marte","SEA","109","518","477","110","18","1","27","69","79","38","137","3","11","3","",".231",".292",".442",".734",".314","","0.6","-4.2","","2.3","1.5","2.1","sa3008745"
"Matt Thaiss","LAA","108","462","405","95","19","2","16","61","56","49","109","3","2","1","",".235",".320",".410",".729",".316","","-0.4","-2.3","","-0.7","6.2","2.1","19318"
"Brian Anderson","MIA","99","405","356","91","19","1","14","44","50","37","92","10","4","1","",".256",".341",".433",".773",".334","","0.0","-0.2","","6.5","1.3","2.1","18289"
"Kolten Wong","MIL","122","470","418","110","23","3","11","56","45","34","77","13","11","5","",".263",".335",".411",".747",".324","","-0.3","3.9","","-0.1","5.6","2.1","12532"
"Abraham Toro","SEA","123","499","443","107","22","3","15","64","55","43","92","10","6","3","",".242",".321",".406",".727",".317","","-0.5","-0.2","","2.4","1.6","2.1","19844"
"Jeremy Peña","HOU","93","401","369","95","12","4","17","38","38","22","111","7","8","4","",".257",".309",".450",".759",".324","","-0.4","-0.5","","3.4","3.9","2.1","sa876320"
"Daulton Varsho","ARI","109","411","370","93","19","4","15","54","48","36","92","4","10","2","",".251",".324",".446",".770",".329","","0.8","-2.7","","2.5","4.9","2.1","19918"
"Teoscar Hernández","TOR","136","547","503","135","27","2","31","78","97","38","143","4","8","3","",".268",".324",".515",".838",".354","","-0.1","-6.2","","14.5","-12.2","2.1","13066"
"Jake Meyers","HOU","116","469","426","105","22","2","16","57","59","32","123","7","9","5","",".246",".308",".420",".729",".315","","-0.7","3.0","","0.0","4.7","2.1","20308"
"Eugenio Suárez","CIN","134","546","477","112","21","1","30","66","91","56","153","8","1","1","",".235",".322",".472",".794",".338","","-0.6","-2.8","","3.2","-0.8","2.0","12552"
"Eduardo Escobar","NYM","129","536","490","118","23","5","22","62","73","40","114","2","1","1","",".241",".299",".443",".741",".315","","-0.6","0.1","","0.6","2.1","2.0","6153"
"Buddy Kennedy","ARI","103","436","384","101","10","2","20","58","53","42","107","4","11","2","",".263",".339",".456",".795",".342","","1.0","-2.9","","7.2","-1.3","2.0","sa3004617"
"Giancarlo Stanton","NYY","117","494","435","109","18","0","25","54","78","51","135","4","1","0","",".251",".332",".464",".796",".340","","-0.2","-1.1","","9.9","-6.5","2.0","4949"
"Gio Urshela","NYY","117","438","409","114","24","1","15","51","58","23","90","3","1","0","",".279",".320",".452",".772",".330","","-0.1","-1.6","","5.2","0.0","2.0","10681"
"Adalberto Mondesi","KCR","89","361","336","83","17","6","13","47","44","18","107","1","32","6","",".247",".286",".449",".735",".311","","3.7","2.5","","1.2","6.5","2.0","13769"
"Alejandro Kirk","TOR","86","293","256","66","16","0","12","36","37","30","41","3","0","0","",".258",".339",".461",".800",".343","","-0.2","-0.4","","5.0","5.0","2.0","22581"
"Andy Ibáñez","TEX","106","427","393","105","22","2","12","52","44","27","62","3","2","2","",".267",".318",".425",".743",".319","","-0.8","3.0","","0.7","4.6","2.0","18819"
"Nick Solak","TEX","143","584","525","137","24","2","17","73","69","43","122","11","7","4","",".261",".328",".411",".739",".321","","-0.8","-4.5","","2.3","-2.4","2.0","19294"
"Ryan McMahon","COL","145","538","479","120","28","2","23","70","81","53","149","3","5","2","",".251",".327",".461",".789",".337","","-0.3","2.5","","-2.5","4.5","2.0","15112"
"Austin Slater","SFG","124","371","327","82","18","2","12","44","41","37","98","6","11","2","",".251",".337",".428",".765",".331","","1.0","0.6","","5.4","2.0","2.0","16153"
"Bryan Ramos","CHW","118","518","466","103","19","2","26","64","69","33","137","13","7","1","",".221",".289",".438",".727",".311","","0.6","1.1","","-1.0","3.0","2.0","sa3010024"
