"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Michael Stefanic","LAA","117","502","457","122","19","0","13","63","45","35","77","8","4","3","",".267",".329",".394",".723",".316","","-0.9","1.9","","-1.3","3.7","2.0","sa3008479"
"Randy Arozarena","TBR","136","545","477","120","27","3","18","77","60","48","148","16","17","9","",".252",".338",".434",".772",".333","","-0.8","-3.1","","10.1","-9.1","1.9","19290"
"Ha-Seong Kim","SDP","128","447","397","93","21","2","14","55","60","39","96","5","10","1","",".234",".308",".403",".711",".307","","1.2","1.6","","-2.0","6.5","1.9","27506"
"Luis Torrens","SEA","115","439","399","94","20","2","15","46","55","34","111","2","0","1","",".236",".296",".409",".705",".302","","-0.7","-0.3","","-3.4","7.8","1.9","15905"
"Shea Langeliers","ATL","92","368","337","79","15","1","18","37","46","26","102","3","1","0","",".234",".294",".445",".739",".314","","0.0","3.7","","-3.4","10.5","1.9","sa3010329"
"Buster Posey","","94","378","340","91","18","0","9","42","37","35","68","2","0","0","",".268",".339",".400",".739",".321","","-0.3","-1.1","","0.9","5.8","1.9","9166"
"Miguel Rojas","MIA","123","479","441","116","23","2","7","49","41","30","60","5","9","3","",".263",".316",".372",".688",".300","","0.1","3.8","","-5.8","9.1","1.9","7802"
"Carson Kelly","ARI","101","359","311","75","16","1","13","40","47","41","79","4","0","0","",".241",".335",".424",".760",".327","","-0.3","0.1","","0.6","6.7","1.9","13620"
"Nolan Jones","CLE","111","462","400","91","21","2","14","56","45","54","157","5","7","2","",".228",".325",".395",".720",".315","","0.2","2.0","","-0.3","3.7","1.9","sa917941"
"Cavan Biggio","TOR","112","457","387","87","19","2","16","58","52","63","129","3","8","2","",".225",".336",".408",".744",".324","","0.4","0.5","","1.2","2.2","1.9","19252"
"Jorge Soler","","135","550","475","112","27","0","32","70","89","64","147","7","1","0","",".236",".333",".495",".827",".351","","-0.2","-5.0","","11.8","-11.1","1.9","14221"
"Yainer Diaz","HOU","98","410","389","101","18","1","14","58","57","16","75","1","2","0","",".260",".289",".419",".708",".303","","0.1","0.7","","-3.2","8.2","1.9","sa3003386"
"Michael Brantley","HOU","111","476","438","129","26","2","9","57","49","31","51","4","3","1","",".295",".345",".425",".770",".333","","-0.3","0.0","","7.8","-5.2","1.9","4106"
"Jonathan Schoop","DET","138","564","525","139","25","2","21","70","69","27","110","7","1","0","",".265",".307",".440",".747",".319","","-0.2","-3.2","","0.6","-1.1","1.9","11265"
"Chris Taylor","LAD","132","501","443","110","26","4","17","70","69","47","139","6","8","2","",".248",".326",".440",".766",".328","","0.4","-4.7","","4.9","-2.9","1.9","13757"
"Andrew Benintendi","KCR","130","551","494","133","32","3","15","68","65","46","110","4","9","6","",".269",".333",".437",".771",".332","","-1.2","1.3","","4.6","-4.8","1.9","17901"
"Orelvis Martinez","TOR","101","458","424","100","20","1","29","59","82","28","131","4","2","1","",".236",".289",".493",".782",".330","","-0.3","-4.9","","2.8","0.1","1.9","sa3010692"
"Mauricio Dubón","SFG","139","519","479","126","22","2","14","60","51","31","89","4","8","5","",".263",".311",".405",".716",".308","","-0.9","3.7","","-4.5","5.6","1.8","16530"
"Jordan Westburg","BAL","113","505","450","110","21","3","14","72","61","39","123","8","8","2","",".244",".313",".398",".711",".309","","0.4","-0.7","","-3.7","4.9","1.8","sa3014499"
"Curtis Mead","TBR","107","463","425","107","23","1","14","61","54","28","96","4","6","2","",".252",".302",".409",".712",".306","","0.0","1.8","","-1.0","3.5","1.8","sa3008392"
"Vinnie Pasquantino","KCR","109","476","428","117","28","2","18","62","56","36","77","4","2","0","",".273",".332",".474",".806",".342","","0.0","1.6","","9.0","-7.1","1.8","sa1115762"
"Mitch Garver","MIN","79","283","248","59","13","1","14","38","40","30","78","3","0","0","",".238",".325",".468",".793",".339","","-0.2","-1.9","","5.1","3.3","1.8","15161"
"Francisco Mejía","TBR","93","318","288","71","16","4","9","35","38","19","63","7","0","0","",".247",".306",".424",".730",".312","","-0.2","0.6","","0.7","6.4","1.8","16403"
"Brandon Crawford","SFG","119","463","416","105","21","2","12","52","56","38","89","5","6","3","",".252",".320",".399",".719",".308","","-0.4","1.1","","-3.6","6.2","1.8","5343"
"Luis Rengifo","LAA","116","466","418","102","18","4","12","55","44","37","91","5","9","5","",".244",".311",".392",".703",".305","","-0.7","2.2","","-5.3","7.3","1.8","19858"
"Jacob Stallings","MIA","95","347","310","76","15","1","6","31","37","31","74","3","0","0","",".245",".318",".358",".676",".297","","-0.3","5.4","","-5.4","11.8","1.8","13723"
"Leody Taveras","TEX","134","554","494","111","23","4","16","68","54","48","147","3","20","5","",".225",".295",".385",".680",".294","","1.5","5.2","","-8.2","7.2","1.8","18900"
"Danny Jansen","TOR","88","299","262","60","15","1","14","41","42","29","64","5","0","0","",".229",".316",".454",".771",".331","","-0.2","0.1","","2.1","5.6","1.8","16535"
"Brendan Rodgers","COL","103","413","382","108","22","3","17","51","52","22","87","7","1","0","",".283",".332",".490",".821",".350","","-0.1","0.0","","2.7","1.5","1.8","17907"
"Yohel Pozo","TEX","103","412","390","101","20","1","12","46","49","16","59","2","1","1","",".259",".290",".408",".697",".299","","-0.5","2.1","","-6.1","9.7","1.8","18848"
"Austin Hays","BAL","121","499","463","120","26","3","23","68","71","25","108","7","5","4","",".259",".306",".477",".783",".333","","-1.0","1.6","","4.6","-3.9","1.8","19363"
"Gabriel Moreno","TOR","56","234","213","57","11","2","11","32","30","15","42","3","2","2","",".268",".322",".493",".815",".345","","-0.6","1.4","","3.9","5.7","1.8","sa3003226"
"Luis Campusano","SDP","99","400","359","87","17","2","14","42","40","33","90","5","1","0","",".242",".313",".418",".731",".316","","-0.1","-3.1","","0.0","4.2","1.8","22217"
"Tony Kemp","OAK","122","360","305","79","15","3","7","45","32","42","47","6","7","3","",".259",".356",".397",".752",".330","","-0.2","-1.8","","5.6","-0.5","1.7","14894"
"Chas McCormick","HOU","106","377","333","81","11","2","13","48","48","34","101","4","7","2","",".243",".316",".405",".721",".312","","0.2","3.1","","0.0","4.5","1.7","19599"
"Jose Barrero","CIN","111","444","397","99","21","2","14","56","57","30","113","10","11","3","",".249",".315",".418",".733",".316","","0.6","1.9","","-4.2","6.8","1.7","23378"
"Ian Happ","CHC","143","518","444","105","21","2","24","66","70","68","157","4","8","2","",".236",".342",".455",".797",".344","","0.3","-3.5","","9.3","-9.2","1.7","17919"
"Wilmer Flores","SFG","115","379","345","94","19","1","13","44","45","28","47","3","1","0","",".272",".330",".446",".776",".334","","-0.1","-1.9","","5.2","-0.5","1.7","5827"
"Gary Sánchez","NYY","105","409","359","75","14","1","23","52","64","43","113","6","0","0","",".209",".303",".446",".749",".320","","-0.3","-5.6","","1.4","1.9","1.7","11442"
"Patrick Wisdom","CHC","109","405","364","82","14","0","26","54","66","35","143","4","5","1","",".225",".300",".478",".778",".330","","0.3","-0.2","","2.5","1.3","1.7","13602"
"Alec Bohm","PHI","127","509","459","119","22","2","16","60","61","43","122","3","5","2","",".259",".324",".420",".745",".321","","-0.3","-0.4","","-1.2","1.5","1.7","21618"
"Kyle Lewis","SEA","103","431","388","93","18","0","15","48","46","40","133","1","3","1","",".240",".311",".402",".713",".310","","-0.2","0.7","","0.0","2.3","1.7","19508"
"Victor Robles","WSN","134","509","444","105","27","3","11","59","42","38","123","19","16","6","",".236",".321",".385",".707",".308","","0.3","4.5","","-6.3","6.4","1.7","18363"
"Omar Narváez","MIL","117","412","365","92","16","0","12","45","44","39","80","5","0","0","",".252",".330",".395",".725",".316","","-0.4","-1.3","","-3.0","6.3","1.7","13338"
"Christian Vázquez","BOS","123","450","415","107","21","1","10","47","46","28","79","2","5","3","",".258",".306",".386",".691",".299","","-0.6","2.7","","-9.5","11.0","1.7","9774"
"Oswaldo Cabrera","NYY","118","503","465","109","22","2","19","57","67","32","128","1","15","4","",".234",".283",".413",".696",".298","","1.0","3.9","","-6.1","5.7","1.7","sa916954"
"Justin Turner","LAD","118","476","423","110","17","0","15","59","61","38","73","11","2","0","",".260",".334",".407",".741",".324","","0.0","-3.2","","2.4","-1.5","1.7","5235"
"Jose Rodriguez","CHW","116","524","501","133","24","2","19","64","58","18","86","1","15","5","",".265",".291",".435",".726",".308","","0.5","-4.4","","-2.5","1.4","1.7","sa3005788"
"William Contreras","ATL","100","368","329","82","12","1","16","44","48","33","102","5","0","0","",".249",".326",".438",".764",".329","","-0.3","-3.5","","1.0","3.3","1.6","20503"
"Andrew Vaughn","CHW","121","492","431","106","26","0","19","58","52","47","110","10","1","2","",".246",".331",".439",".770",".333","","-1.0","-1.0","","6.1","-6.4","1.6","26197"
"Bryson Stott","PHI","108","443","396","96","18","2","13","50","42","43","115","1","6","4","",".242",".317",".396",".714",".311","","-0.8","2.4","","-5.5","7.3","1.6","sa3011443"
"Jhonkensy Noel","CLE","81","337","315","80","15","1","20","58","76","15","85","4","4","2","",".254",".295",".498",".793",".329","","-0.2","0.6","","3.1","1.8","1.6","sa3005579"
"Austin Allen","OAK","85","328","304","75","18","1","12","37","42","18","74","3","0","0","",".247",".294",".431",".724",".309","","-0.2","-0.2","","-0.8","5.8","1.6","18083"
"Triston Casas","BOS","101","428","378","98","20","3","19","61","56","41","98","4","5","2","",".259",".336",".479",".815",".348","","-0.2","0.9","","8.6","-7.0","1.6","sa3007634"
"J.D. Davis","NYM","104","352","311","83","16","0","12","39","39","34","87","5","2","0","",".267",".347",".434",".781",".338","","0.1","-4.6","","7.7","-3.3","1.6","16219"
"Jean Segura","PHI","124","529","488","135","25","3","11","66","51","31","70","6","8","4","",".277",".326",".408",".734",".317","","-0.5","0.1","","-3.5","2.0","1.6","5933"
"J.D. Martinez","BOS","124","539","483","129","30","2","20","68","74","48","118","3","1","0","",".267",".334",".462",".796",".337","","-0.2","-2.2","","5.9","-8.1","1.6","6184"
"Ronny Mauricio","NYM","115","487","458","105","18","3","21","54","63","24","126","3","8","5","",".229",".272",".419",".691",".295","","-0.8","2.2","","-7.7","7.6","1.6","sa3006887"
"Edward Olivares","KCR","113","460","421","109","19","3","15","53","48","28","93","7","13","5","",".259",".314",".425",".739",".318","","0.1","-0.8","","-0.5","0.9","1.6","19698"
"Eguy Rosario","SDP","117","489","444","107","25","3","13","61","52","34","113","4","18","8","",".241",".298",".399",".697",".300","","-0.1","0.9","","-6.5","6.3","1.6","sa917140"
"Robbie Grossman","DET","136","534","456","110","22","3","15","65","51","68","115","5","11","4","",".241",".343",".401",".745",".326","","0.0","-0.3","","4.0","-6.2","1.6","5254"
"Ryan Kreidler","DET","117","494","444","103","19","1","15","51","43","37","140","5","10","4","",".232",".296",".381",".677",".294","","-0.1","3.2","","-9.5","8.6","1.6","sa3010587"
"Brandon Belt","SFG","105","410","355","87","18","2","18","53","50","49","98","4","3","1","",".245",".341",".459",".801",".342","","-0.2","1.2","","8.6","-6.3","1.6","10264"
"Mike Zunino","TBR","96","324","294","57","12","1","19","42","48","24","114","5","0","0","",".194",".265",".435",".701",".299","","-0.2","1.6","","-2.8","7.6","1.6","13265"
"Eddys Leonard","LAD","107","486","448","106","19","2","22","59","68","31","129","6","5","2","",".237",".294",".435",".730",".313","","-0.2","-3.7","","-2.0","1.7","1.6","sa3005554"
"Mark Canha","NYM","122","494","415","97","19","3","15","68","54","57","106","18","6","1","",".234",".348",".402",".751",".330","","0.3","-3.0","","7.8","-8.4","1.6","11445"
"Josh H. Smith","TEX","80","356","321","80","15","2","9","35","27","26","76","7","12","3","",".249",".318",".393",".711",".311","","0.8","0.0","","-0.4","3.9","1.6","sa3011703"
"Mark Vientos","NYM","96","395","362","86","17","2","20","44","58","25","112","3","0","2","",".238",".290",".461",".751",".317","","-1.1","0.4","","0.7","1.9","1.6","sa3004720"
"Kyle Isbel","KCR","115","470","426","105","23","4","12","62","46","35","112","6","15","4","",".246",".311",".404",".715",".309","","1.0","0.8","","-2.9","2.5","1.6","21614"
"Trey Mancini","BAL","138","583","527","141","31","2","24","74","78","46","126","7","0","0","",".268",".333",".471",".803",".342","","-0.5","-4.2","","10.7","-14.9","1.6","15149"
"Yairo Muñoz","","107","365","339","97","20","2","9","42","35","19","66","3","11","4","",".286",".328",".437",".764",".328","","0.2","0.1","","1.7","1.4","1.6","16313"
"Lourdes Gurriel Jr.","TOR","125","496","460","126","28","2","21","60","75","26","100","4","3","4","",".274",".315",".480",".796",".336","","-1.4","-0.5","","4.5","-6.0","1.5","19238"
"Korey Lee","HOU","90","368","341","84","16","1","10","47","39","24","79","1","3","1","",".246",".297",".387",".684",".296","","-0.1","1.2","","-5.3","8.0","1.5","sa3010034"
"Brett Baty","NYM","94","397","358","84","17","1","13","55","50","32","107","3","5","2","",".235",".301",".397",".698",".303","","-0.1","3.7","","-3.1","5.2","1.5","sa3010869"
"José Iglesias","","125","465","440","125","29","3","6","52","49","17","59","6","5","3","",".284",".318",".405",".723",".312","","-0.6","-0.8","","-5.0","4.3","1.5","10231"
"Ryan Jeffers","MIN","101","379","340","72","14","1","16","41","45","33","123","5","0","1","",".212",".290",".400",".690",".300","","-0.7","1.2","","-6.0","8.2","1.5","24618"
"Nick Madrigal","CHC","95","399","367","108","19","4","3","45","31","21","26","7","11","8","",".294",".342",".392",".734",".320","","-1.5","2.8","","-2.4","4.3","1.5","20521"
"Edmundo Sosa","STL","118","410","373","93","15","4","9","46","38","18","87","14","3","3","",".249",".306",".383",".690",".300","","-1.0","3.2","","-6.3","7.7","1.5","17022"
"Brice Turang","MIL","121","513","461","112","22","3","11","72","48","45","102","2","13","5","",".243",".311",".375",".686",".299","","0.1","2.7","","-10.4","8.4","1.5","sa3008294"
"Spencer Steer","MIN","102","452","401","92","18","2","16","49","51","36","104","7","5","2","",".229",".301",".404",".705",".305","","-0.2","2.2","","-4.4","3.9","1.5","sa3010586"
"Hoy Park","PIT","108","428","364","87","18","4","10","58","39","53","97","4","10","4","",".239",".340",".393",".732",".319","","-0.1","-0.6","","-0.3","1.0","1.5","18027"
"Romy Gonzalez","CHW","103","426","392","87","18","1","18","50","53","29","139","3","13","3","",".222",".280",".411",".691",".296","","1.1","1.3","","-5.7","6.0","1.5","21562"
"Gunnar Henderson","BAL","105","459","413","90","22","2","18","57","69","38","143","2","9","1","",".218",".285",".412",".697",".299","","1.1","0.5","","-6.4","5.6","1.5","sa3011484"
"Jose Tena","CLE","110","458","433","103","22","2","15","60","53","20","122","3","7","3","",".238",".276",".402",".678",".290","","-0.2","4.5","","-10.4","9.5","1.5","sa3005482"
"Austin Martin","MIN","97","434","361","84","17","2","6","60","26","49","94","18","9","2","",".233",".350",".341",".691",".313","","0.5","-1.0","","-0.6","0.6","1.5","sa3014454"
"Elehuris Montero","COL","119","484","431","114","20","2","21","66","63","37","108","4","0","0","",".265",".324",".466",".791",".337","","-0.4","-0.8","","-2.3","1.0","1.5","sa872477"
"David Fletcher","LAA","145","620","578","159","31","3","4","73","43","35","57","1","10","3","",".275",".317",".360",".676",".296","","0.2","2.1","","-10.8","4.4","1.5","17992"
"Shay Whitcomb","HOU","103","459","427","98","16","0","19","56","60","25","148","3","16","2","",".230",".276",".400",".676",".291","","2.0","0.3","","-6.3","5.4","1.5","sa3014948"
"Joe Perez","HOU","110","488","455","115","29","0","17","55","53","31","124","0","3","2","",".253",".300",".429",".728",".313","","-0.6","-3.1","","-0.7","-1.3","1.5","sa3006868"
"Jesús Sánchez","MIA","112","450","407","99","15","4","19","51","58","35","125","5","2","2","",".243",".309",".440",".749",".319","","-0.8","4.2","","0.5","-0.8","1.5","19913"
"Brett Auerbach","SFG","94","394","358","84","15","1","15","47","44","27","97","5","16","3","",".235",".296",".408",".704",".304","","1.7","2.6","","-2.5","4.0","1.5","sa3014941"
"Mike Yastrzemski","SFG","125","486","433","104","25","4","19","63","60","43","121","6","3","2","",".240",".315",".448",".764",".325","","-0.6","1.1","","2.8","-4.3","1.5","14854"
"Ryan Mountcastle","BAL","134","558","516","138","26","1","28","72","90","33","146","3","3","2","",".267",".312",".484",".796",".336","","-0.6","-1.2","","7.0","-11.5","1.5","18373"
"Josh Lowe","TBR","115","482","423","97","21","2","15","61","56","48","149","2","18","2","",".229",".308",".395",".703",".306","","2.4","-4.9","","1.3","-3.1","1.5","19953"
"Austin Nola","SDP","88","323","289","74","16","1","7","34","37","26","54","6","1","1","",".256",".328",".391",".719",".315","","-0.5","-1.5","","-0.7","4.4","1.4","15941"
"Josh Rojas","ARI","131","542","482","122","29","4","12","67","48","53","120","2","14","8","",".253",".327",".405",".732",".318","","-1.0","-1.4","","-4.1","0.6","1.4","19734"
"Orlando Arcia","ATL","126","440","399","98","19","1","14","44","48","33","82","2","5","3","",".246",".304",".404",".707",".304","","-0.6","3.3","","-8.4","8.2","1.4","13185"
